acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;key;popularity
1572;5,36667E+15;1,82173E+16;5,83667E+15;396666666,7;1,10633E+16;-8,82533E+15;1,38933E+16;127291;8,73333E+15;4;2566666666666670,00
331;5,78E+15;2872090;5,89E+15;16233333333;1,013E+16;-8307;1,29067E+16;1,32579E+16;5,84333E+15;7;2566666666666670,00
8,02667E+15;5,22667E+15;1,59004E+16;488;4066666667;142;-1,11393E+16;291;1,20946E+16;8,78E+15;0;2566666666666670,00
331;578;2872090;5,89E+15;16233333333;1013;-8307;1,29067E+16;1,32579E+16;5,84333E+15;7;2566666666666670,00
9,05252E+15;4,86833E+15;2,47668E+15;1,76635E+15;4,40589E+16;1,66155E+15;-1,60472E+16;4,58587E+16;1,11347E+15;3,76578E+16;0;2569508196721310,00
9,01971E+14;4,355E+16;2,33779E+16;2,59774E+15;5,52796E+15;3,31059E+16;-1,20249E+16;4,44147E+15;1,04229E+16;3,90471E+15;2;2570588235294120,00
9,76714E+15;4,18893E+15;1,83414E+15;2,60179E+16;4,36702E+15;1,68043E+16;-1,32364E+15;5,05071E+16;1,16696E+15;4,57357E+15;0;2571428571428570,00
966;2,54143E+15;5,51036E+15;1,00229E+16;7,78859E+15;1,22571E+16;-2,03571E+16;4,37857E+15;9,37103E+15;596;5;2571428571428570,00
2,29657E+16;4,83286E+15;2,14088E+15;4,89E+15;1,39643E+16;2,88429E+15;-7,53371E+15;2,91571E+16;1,25089E+15;8,15429E+15;2;2571428571428570,00
9,60643E+15;3,13571E+15;2,24444E+15;2,48714E+15;1,5931E+15;4,09164E+15;-1,56996E+16;5,26929E+15;9,61561E+15;1,74364E+15;4;2571428571428570,00
988;3,46714E+15;3,34206E+15;1,08386E+15;5,67752E+15;9,53286E+15;-2,05683E+15;1,05486E+16;1,04847E+16;2,51186E+15;2;2571428571428570,00
9,92714E+15;2,55714E+15;1,70148E+15;2,89857E+15;6,22921E+14;3,14429E+15;-1,63379E+16;4,69857E+15;95501;1,89471E+15;9;2571428571428570,00
9,18364E+15;2,31109E+15;2,07082E+16;13085;2,98648E+15;1,80364E+16;-2,20596E+15;428;9,21305E+15;1,33218E+16;3;2572727272727270,00
7,37463E+15;5,65478E+15;4,14801E+16;4285;6,42131E+15;2,46579E+14;-1,37485E+16;4,88955E+15;1,15482E+16;5,87582E+15;5;2577611940298510,00
7,78289E+15;4,34342E+15;1,49825E+16;2,96458E+15;1,00757E+16;1,66797E+16;-1,25642E+16;3,91632E+15;1,1581E+16;5,13289E+15;0;2578947368421050,00
314;5325;2,17907E+16;5,56167E+15;1,21927E+16;2,19983E+16;-1,09338E+16;3,39667E+16;1,07934E+16;6,08833E+15;2;2583333333333330,00
1,24932E+16;36175;3,21648E+16;7,55917E+15;653125;2,09579E+16;-1,07309E+16;952625;117412125;4,206E+15;9;2583333333333330,00
