acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0,01;0,61;232907;0,8;0;-4,45;0,03;103,01;9;80
0,62;0,68;210000;0,53;0;-5,88;0,03;112,01;9;80
0,27;0,74;231937,67;0,71;0;-4,15;0,16;94,77;10;81
0,21;0,67;177904,63;0,65;0;-6,13;0,22;116,29;7;78,68
0,25;0,92;149610,33;0,5;0;-8,62;0,35;141,05;4;80,33
0,02;0,8;156960;0,83;0;-5,36;0,19;124,96;2;81
0,03;0,82;183702,33;0,79;0;-5,63;0,04;119,33;6;80
0,45;0,75;172245;0,61;0;-7,03;0,1;149,97;0;78
0,17;0,6;174720;0,65;0;-6,98;0,13;89,73;7;78
0;0,45;90960;0,89;0;-4,78;0,08;143,98;9;78
0,18;0,81;181675,2;0,57;0,03;-7,35;0,11;111,97;5;81,4
0,75;0,73;147800;0,44;0;-9,92;0,06;130,06;6;79
0,09;0,71;166356;0,57;0;-7,86;0,05;130,02;5;78
0;0,67;215280;0,8;0,01;-5,7;0,03;133,93;11;78
0,61;0,77;154599;0,34;0;-13,17;0,78;76,23;0;79
0,76;0,72;155933;0,28;0;-12,25;0,06;112,87;7;79
0,15;0,67;155336,86;0,58;0;-6,49;0,12;116,9;9;77,95
0,12;0,76;165996;0,46;0;-7,76;0,04;119,22;10;78,5
0,18;0,84;160627;0,39;0;-7,9;0,08;129,97;2;80
0;0,67;261013;0,87;0;-5,22;0,03;130,04;8;81
0,64;0,6;230880;0,47;0;-4,95;0,03;113,82;4;80
0,06;0,52;174933;0,92;0;-2,86;0,1;90,07;2;79
0,5;0,65;181740,33;0,57;0;-6,47;0,17;104,46;11;80,22
0,33;0,8;135878;0,76;0;-5,39;0,03;129,96;2;79
0,46;0,83;146886,33;0,52;0;-8,71;0,27;90,73;0;74,17
0,03;0,53;193085,6;0,83;0;-3,95;0,06;130,42;6;76,6
0,14;0,71;157811,42;0,68;0;-4,68;0,09;129,35;9;75,67
0,8;0,88;189020,5;0,37;0;-11,44;0,09;100,49;9;77
0,1;0,65;327967;0,9;0;-4,57;0,08;121,99;6;75
0,1;0,65;327967;0,9;0;-4,57;0,08;121,99;6;75
0,29;0,9;167184;0,25;0;-17,54;0,11;117,99;5;75
0,07;0,74;227026,5;0,73;0,02;-8,16;0,03;119,94;10;76,5
0,89;0,52;187932;0,13;0,03;-18,72;0,04;109,99;4;82
0,02;0,65;225668;0,83;0;-4,01;0,06;145;8;76
0,21;0,69;313640;0,56;0;-5,69;0,09;92,02;5;78
0,88;0,63;184638;0,31;0,08;-11,74;0,04;76,99;1;82
0,48;0,72;201453;0,42;0;-8,65;0,06;114,12;11;74,4
