danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,48;216333;0,33;0,9;0,2;-14,45;0,08;111,94;10;0
0,83;499625;0,8;0,9;0,12;-11,04;0,05;122,01;11;20
0,83;155905;0,15;0,02;0,18;-8,7;0,48;70,71;1;0
0,47;296693;0,72;0,23;0,22;-10,38;0,08;104,83;9;43
0,29;341733;0,65;0;0,27;-12,83;0,07;94,71;8;6
0,72;176208;0,56;0;0,2;-10,69;0,17;107,48;1;0
0,87;328893;0,56;0;0,09;-11,49;0,12;119,78;0;48
0,72;306467;0,75;0;0,07;-9,64;0,08;105,47;1;14
0,36;326893;0,83;0;0,96;-11,43;0,41;146,36;0;53
0,47;163125;0,85;0;0,47;-2,27;0,09;127,99;11;0
0,36;85060;0,29;0,93;0,13;-9,39;0,03;102,02;4;2
0,72;207027;0,35;0;0,52;-11,14;0,45;127,87;2;53
0,24;234573;0,12;0,91;0,08;-19,01;0,04;141,38;7;32
0,25;126733;0,21;0,15;0,14;-16,3;0,04;74,32;3;0
0,48;97437;0,98;0,13;0,36;-5,56;0,1;137,97;10;13
0,16;384280;0,02;0,96;0,09;-26,04;0,04;64,91;3;0
0,73;326227;0,69;0,79;0,59;-6,26;0,05;115,01;11;19
0,68;334000;0,99;0,04;0,05;-2,11;0,04;128,02;10;0
0,08;427360;0,01;0,94;0,06;-33,48;0,04;83,29;8;48
0,2;181547;0,38;0;0,15;-10,76;0,04;80,37;2;0
0,57;70586;0,74;0,01;0,5;-11,2;0,08;135,93;2;9
0,55;490827;0,69;0,01;0,5;-10,03;0,08;124,62;10;37
0,62;215493;0,18;0;0,25;-14,57;0,14;64,07;3;15
0,6;199385;0,81;0,07;0,16;-6,55;0,03;129,94;9;0
0,14;711707;0,01;0,84;0,11;-12,31;0,04;104,53;0;0
0,46;315427;0,23;0,91;0,11;-21,81;0,05;135,2;0;3
0,34;166267;0,21;0,61;0,15;-19,68;0,04;123,24;2;47
0,9;354146;0,6;0,08;0,07;-9,57;0,24;123,01;4;0
0,39;444331;0,45;0;0,62;-7,75;0,03;129,53;9;57
0,3;765787;0,34;0,82;0,08;-19,02;0,06;120;0;0
0,97;235840;0,63;0;0,05;-7,77;0,05;110;9;15
0,28;372267;0,13;0;0,27;-19,96;0,07;80,2;2;0
0,54;239307;0,08;0;0,12;-18,82;0,13;95,31;2;0
0,52;116747;0,24;0;0,34;-17,09;0,2;101,21;4;0
0,24;201000;0,06;0,93;0,12;-27,19;0,04;82,23;8;38
0,46;169200;0,28;0,92;0,11;-18,61;0,03;135,81;9;0
0,22;276067;0,16;0;0,13;-16,75;0,05;178,62;3;1
0,61;46667;0,07;0;0,19;-32,47;0,5;103,81;8;0
0,38;389200;0,1;0,03;0,25;-20,28;0,07;85,75;0;0
0,51;236000;0,15;0,9;0,11;-25;0,04;98,48;7;54
0,09;206827;0,02;0,89;0,15;-33,08;0,05;85,33;10;42
0,33;49000;0,19;0;0,33;-16,04;0,08;166;2;0
0,47;36965;0,9;0,95;0,47;-8,47;0,05;130,03;7;5
0,43;283347;0,24;0;0,17;-11,98;0,19;80,78;5;1
0,35;213800;0,06;0,17;0,12;-20,23;0,06;91,32;9;0
0,27;962973;0,18;0;0,05;-13,55;0,04;136,69;7;5
0,26;205467;0,05;0,93;0,09;-25,83;0,05;93,59;3;40
0,74;89640;0,38;0;0,11;-12,19;0,16;98,74;8;7
0,11;256200;0,04;0,11;0,11;-25,91;0,05;82,11;5;49
0,57;189200;0,23;0;0,11;-11,95;0,03;137,95;2;0
0,34;180657;0,3;0,93;0,28;-16,29;0,06;84,75;10;0
0,49;297493;0,47;0;0,07;-11,24;0,07;80,37;6;62
0,88;256373;0,64;0;0,12;-5,62;0,2;77;1;44
0,57;230573;0,25;0;0,18;-11,96;0,09;141,5;5;1
0,3;260667;0,03;0;0,14;-19,11;0,03;76,59;5;0
0,21;180333;0,06;0,68;0,1;-26,07;0,04;86,71;3;31
