danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,popularity
0.62,308840,0.7,0,0.08,-6.55,0.38,91.86,2,0
0.58,381200,0.79,0.01,0.09,-9.71,0.03,113.04,8,43
0.62,131413,0.03,0,0.31,-31.58,0.3,63.98,6,1
0.45,196664,0.79,0,0.42,-5.15,0.05,137.83,0,58
0.66,235400,0.73,0,0.11,-8.1,0.44,88.5,11,44
0.6,172400,0.23,0,0.11,-14.42,0.03,115.18,11,39
0.33,148886,0.23,0,0.15,-15.2,0.05,169.73,2,34
0.74,154840,0.8,0,0.08,-10.63,0.04,114.2,7,27
0.72,270300,0.46,0,0.1,-10.41,0.17,106.95,5,53
0.65,181080,0.43,0,0.1,-11.52,0.06,84.77,5,14
0.69,221347,0.62,0.88,0.27,-14.69,0.13,125.78,5,26
0.33,220240,0.21,0.92,0.11,-17.34,0.03,153.53,4,43
0.52,202632,0.39,0.88,0.12,-15.17,0.03,91.01,10,0
0.7,280608.5,0.83,0,0.1,-4.48,0.17,94.14,2,60
0.5,238440,0.13,0,0.06,-17.28,0.04,89.17,4,26
0.42,169627,0.07,0.79,0.11,-22.8,0.04,115.82,9,7
0.37,179859,0.29,0,0.65,-8.96,0.03,96.73,7,0
0.5,297707,0.66,0,0.17,-10.54,0.03,139.4,5,36
0.57,222360,0.98,0,0.11,-3.87,0.26,193.98,1,65
0.48,110160,0.34,0.04,0.08,-16.83,0.03,138.35,4,33
0.71,330393,0.89,0.26,0.08,-3.47,0.07,128.07,6,0
0.16,228533,0.14,0.96,0.1,-19.71,0.04,169.38,4,53
0.75,321231,0.6,0,0.08,-5.6,0.09,130.02,6,0
0.71,454960,0.6,0.64,0.05,-13.59,0.04,119.9,6,32
0.56,153853,0.36,0,0.14,-11.93,0.04,147.66,9,34
0.81,392640,0.52,0.47,0.05,-16.1,0.07,125.01,1,0
0.48,78000,0.94,0,0.22,-4.69,0.24,129.82,3,7
0.75,120700,0.24,0,0.21,-15.85,0.04,94.22,6,42
0.57,143933,0.04,0.94,0.11,-22.91,0.04,104.02,3,53
0.27,243093,0.41,0.22,0.27,-10.51,0.03,83.82,3,1
0.57,288416,0.97,0.21,0.19,-5.08,0.05,129.76,0,23
0.63,146720,0.56,0,0.13,-11,0.05,97.5,1,29
0.08,496440,0.07,0.73,0.08,-29.92,0.05,70.36,0,39
0.31,251533,0.01,0.94,0.14,-35.46,0.05,65.02,1,37
0.66,54474,0.38,0,0.13,-10.4,0.03,97.08,2,0
0.43,97680,0.07,0,0.07,-19.67,0.04,129.8,3,32
0.9,397505,0.64,0.29,0.05,-5.55,0.09,127.99,1,0
0.68,231867,0.82,0,0.11,-3.31,0.24,180,1,57
0.65,276046,0.73,0.67,0.05,-6.88,0.05,128.04,6,13
0.56,433006,0.56,0.94,0.08,-8.15,0.04,132.98,6,0
0.36,83707,1,0.98,0.3,-7.78,0.12,137.84,6,2
0.58,189280,0.62,0,0.1,-6.83,0.04,159.97,4,47
0.56,222467,0.63,0,0.15,-5.68,0.03,107.93,1,55
0.45,67653,0.4,0,0.67,-14.57,0.08,107.72,0,43
0.74,288000,0.86,0.03,0.13,-3.49,0.13,139.96,10,0
0.6,162507,0.36,0,0.31,-10.88,0.1,141.46,1,2
0.6,292680,0.71,0,0.25,-10.7,0.11,119.39,0,33
0.65,260360,0.13,0,0.11,-18.02,0.03,93.19,2,38
0.63,159884,0.86,0,0.24,-2.51,0.05,167.64,5,44
0.81,415673,0.71,0.92,0.09,-12.7,0.1,125.01,4,0
0.82,317707,0.96,0.68,0.1,-7.21,0.07,118.91,7,33
