danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0.64;245493;0.49;0;0.1;-8.13;0.03;126.1;1;med
0.52;423173;0.7;0;0.38;-6.95;0.03;140.13;2;med
0.59;238452;0.68;0;0.07;-6.19;0.04;88.6;7;med
0.6;281400;0.78;0;0.19;-6.47;0.25;79.86;6;med
0.55;209040;0.95;0.01;0.13;-4.61;0.07;164.09;4;med
0.55;181773;0.88;0;0.09;-5.61;0.04;99.97;10;med
0.62;386853;0.72;0;0.25;-4.86;0.05;96.85;9;med
0.61;257600;0.88;0;0.13;-5.64;0.23;163.44;7;med
0.76;181907;0.9;0.07;0.22;-2.62;0.09;118.87;9;med
0.64;168280;0.7;0;0.47;-4.82;0.04;84.03;7;med
0.26;838560;0.75;0;0.07;-7.8;0.06;148.41;0;med
0.78;208133;0.82;0;0.14;-3.21;0.05;119.99;1;med
0.31;177787;0.13;0;0.57;-19.31;0.05;78.46;5;med
0.69;221520;0.48;0;0.11;-5.72;0.26;79.94;10;med
0.89;212920;0.47;0;0.3;-6.45;0.08;75;1;med
0.67;300907;0.82;0;0.09;-8.55;0.06;174.03;1;med
0.29;220013;0.89;0.18;0.16;-5.27;0.08;87.63;2;med
0.35;167000;0.01;0.95;0.13;-34.75;0.04;65.45;8;med
0.53;188893;0.63;0;0.48;-7.96;0.37;94.03;10;med
0.38;275760;0.15;0.43;0.13;-19.38;0.04;100;3;med
0.82;88644;0.45;0;0.13;-14.69;0.1;129.99;0;high
0.83;197840;0.65;0;0.25;-4.73;0.08;92.06;1;high
0.63;242827;0.99;0;0.5;-0.2;0.04;128.02;4;med
0.32;350348;0.14;0.92;0.07;-17.45;0.04;142.82;7;med
0.53;225200;0.97;0;0.29;-4.14;0.05;144.02;1;med
0.46;244600;0.2;0.03;0.12;-17.28;0.04;121.67;2;med
0.93;234373;0.59;0;0.08;-12.01;0.16;118.96;10;med
0.63;265427;0.43;0;0.34;-14.34;0.07;152.05;9;med
0.77;185813;0.63;0;0.2;-4.09;0.16;129.07;8;med
0.61;219987;0.96;0;0.19;-1.58;0.06;99.07;9;med
0.43;268105;0.72;0;0.09;-6.13;0.04;174.01;5;high
0.23;304240;0.51;0.92;0.11;-9.32;0.03;114.26;4;med
0.44;217400;0.78;0;0.07;-4.43;0.04;176.06;6;med
0.68;247813;0.66;0;0.09;-5.12;0.03;141.93;6;med
0.9;222693;0.64;0;0.1;-12.34;0.15;104.84;1;med
0.63;269133;0.32;0;0.07;-8.83;0.04;119.06;4;med
0.64;294406;0.61;0;0.1;-7.08;0.05;143.41;10;med
0.49;414926;0.74;0;0.19;-7.41;0.06;108.34;11;med
0.5;279613;0.73;0;0.1;-6.98;0.13;87.89;0;med
0.8;225840;0.59;0;0.32;-4.79;0.04;110.81;5;med
0.47;224320;0.93;0;0.33;-4.49;0.05;154.35;9;med
0.52;166253;0.66;0;0.29;-7.56;0.03;124.54;0;med
0.59;228173;0.74;0;0.65;-6.76;0.05;125.82;8;med
0.59;197747;0.51;0;0.11;-6.69;0.06;165.72;8;med
0.8;237956;0.65;0;0.05;-9.51;0.05;137.92;0;med
0.53;372147;0.51;0.59;0.25;-14.45;0.04;117.69;7;med
0.66;162400;0.76;0;0.06;-3.2;0.06;113.57;2;med
0.6;305120;0.4;0;0.7;-9.5;0.1;126.29;0;high
0.53;183413;0.46;0;0.07;-6.44;0.1;179.84;9;med
0.69;159213;0.75;0;0.2;-7.14;0.05;156.05;3;med
0.58;146800;0.09;0;0.14;-23.73;0.04;93.52;3;med
0.74;194429;0.44;0;0.15;-10.47;0.05;104.67;7;med
0.46;286987;0.32;0.03;0.16;-9.89;0.03;105.54;0;med
0.77;190259;0.71;0;0.17;-5.1;0.04;116.95;7;med
0.42;399160;0.16;0.58;0.09;-16.16;0.05;129.62;1;med
0.77;294067;0.65;0;0.15;-9.09;0.29;138.06;1;med
0.9;204933;0.51;0;0.56;-9.29;0.26;94.94;4;med
0.75;243093;0.8;0;0.23;-5.95;0.42;94.99;1;med
0.64;277867;0.79;0.35;0.15;-7.91;0.03;119.55;8;med
0.44;438493;0.58;0.02;0.41;-8.7;0.2;151.84;1;med
0.77;252133;0.5;0.07;0.09;-11.4;0.03;110.93;10;med
0.66;206320;0.67;0;0.13;-5.58;0.03;139.85;3;high
0.45;354280;0.45;0;0.14;-12.59;0.03;177.83;1;med
0.52;390427;0.85;0.21;0.09;-7.61;0.06;105.98;4;med
0.57;75053;0.05;0.83;0.12;-17.89;0.04;73.58;7;med
0.78;259427;0.1;0.88;0.12;-15.59;0.04;96.8;9;med
0.53;212066;0.68;0;0.1;-6.27;0.03;155.95;8;med
0.49;244987;0.56;0;0.18;-7.93;0.03;83.46;4;med
0.28;293147;0.03;0.9;0.1;-26.8;0.04;136.73;8;med
0.6;165333.5;0.6;0;0.2;-8.18;0.05;122.9;11;med
0.46;254320;0.57;0;0.14;-5.54;0.03;145.99;8;med
0.75;208867;0.8;0;0.13;-5.99;0.35;90.84;1;med
0.47;163373;0.28;0;0.2;-12.1;0.03;99.83;8;med
0.3;225840;0.9;0;0.17;-9.24;0.04;74.32;7;med
0.81;365573;0.64;0.06;0.1;-7.89;0.05;111.86;7;med
0.76;220499;0.38;0;0.11;-10.98;0.04;109.98;9;med
0.28;166573;0.96;0;0.5;-1.66;0.08;168.33;7;med
0.62;191027;0.76;0;0.1;-6.77;0.08;81.23;7;med
0.61;213973;0.92;0;0.09;-6.78;0.09;184.82;1;med
0.38;275760;0.15;0.43;0.13;-19.38;0.04;100;3;med
0.78;208800;0.9;0;0.34;-8.31;0.09;119;1;med
0.62;220293;0.81;0;0.31;-6.75;0.41;174.06;5;high
0.61;288100;0.95;0;0.19;-4.35;0.05;159.93;1;med
0.72;198173;0.27;0;0.14;-14.9;0.08;117.13;10;med
0.23;381507;0.11;0.02;0.18;-22.48;0.06;166.41;7;med
0.71;210320;0.66;0;0.17;-9.28;0.17;118.04;4;high
0.63;268467;0.91;0;0.1;-8.33;0.03;103.4;2;med
0.51;525693;0.9;0;0.47;-8.99;0.14;126.65;9;med
0.66;186627;0.7;0;0.08;-5.92;0.03;108.02;8;med
0.16;231133;0.27;0.79;0.17;-15.51;0.05;112.97;6;med
0.83;227176;0.51;0;0.1;-8.71;0.07;131.07;6;med
0.9;333093;0.77;0;0.12;-8.29;0.04;131.99;6;med
0.4;198773;0.92;0;0.05;-4.89;0.28;88.92;0;high
0.79;179658;0.48;0;0.33;-4.34;0.06;129.83;2;med
0.76;223028;0.56;0.21;0.08;-10.17;0.05;98.07;7;med
0.42;233013;0.18;0;0.1;-13.52;0.03;122.34;9;med
0.26;220240;0.13;0.01;0.16;-14.4;0.03;105.31;2;med
0.6;260533;0.79;0;0.08;-2.55;0.06;120.92;2;med
0.42;198862;0.41;0.66;0.1;-13.34;0.08;165.8;5;high
0.36;250686;0.47;0;0.16;-7.38;0.04;87.71;10;high
0.46;188973;0.28;0;0.28;-8.99;0.05;89.17;1;med
0.48;186480;0.7;0;0.37;-2.57;0.03;138.57;5;med
0.39;268427;0.05;0.91;0.11;-24.7;0.04;61.49;3;med
0.92;233320;0.68;0;0.21;-5.16;0.04;129.99;7;med
0.92;176704;0.54;0;0.08;-6.27;0.06;112.58;0;high
0.7;203320;0.69;0;0.08;-7.29;0.03;121.02;9;med
0.3;367667;0.01;0.91;0.1;-30.8;0.04;127.54;1;med
0;80813;0;0.56;0.4;-22.98;0;0;10;med
0.37;231693;0.73;0;0.1;-7.27;0.07;87.46;10;med
0.74;280693;0.66;0.03;0.1;-10.96;0.03;131.02;4;med
0.2;131775;1;1;0.72;-15.92;0.05;83.6;3;med
0.32;175200;0.89;0;0.36;-4.53;0.05;174.01;0;high
0.73;211880;0.71;0;0.13;-6.91;0.13;151.57;6;med
0.64;445533;0.5;0.25;0.05;-6.84;0.04;140.39;1;med
0.68;385600;0.25;0.01;0.13;-13.6;0.03;79.83;0;med
0.45;233440;0.4;0;0.13;-11.23;0.38;82.94;1;med
0.5;217440;0.25;0;0.26;-10.61;0.03;80;1;med
0.47;201401;0.5;0;0.31;-6.63;0.08;171.4;5;high
0.83;223074;0.5;0;0.28;-6.6;0.07;140.01;1;med
0.9;215533;0.86;0.03;0.11;-6.13;0.04;125.07;0;med
0.95;249427;0.71;0;0.12;-7.78;0.32;128.96;1;med
0.86;207320;0.79;0;0.28;-3.55;0.28;138.92;1;high
0.78;195307;0.73;0;0.1;-4.58;0.14;138.03;3;high
0.52;279300;0.95;0.13;0.1;-4.15;0.05;155.09;9;med
0.88;197217;0.31;0;0.25;-10.17;0.05;114.97;7;high
0.39;250227;0.98;0.01;0.45;-3.79;0.25;160.98;7;med
0.88;204875;0.64;0;0.13;-7.67;0.29;114.97;4;med
0.72;170770;0.7;0;0.37;-7.59;0.11;80;8;med
0.88;266275;0.82;0;0.08;-6.97;0.08;115.99;2;med
0.94;303267;0.64;0;0.11;-9.5;0.25;101.37;11;med
0.84;202160;0.82;0;0.35;-9.86;0.16;101.99;1;med
0.82;144009;0.56;0;0.09;-11.32;0.33;126.55;7;high
0.17;419280;0.08;0.93;0.38;-18.32;0.04;87.24;5;med
0.49;225515;0.59;0;0.08;-4.4;0.04;123.77;8;med
0.75;280120;0.84;0.02;0.35;-5.89;0.03;110;5;med
0.82;188681;0.54;0;0.07;-6.91;0.42;123.92;8;med
0.81;146227;0.23;0.01;0.13;-15.72;0.05;86.26;5;med
0.92;264507;0.53;0;0.09;-8.17;0.23;95.92;1;med
0.75;179213;0.8;0;0.08;-4.44;0.04;118.02;0;high
0.71;185522;0.92;0.93;0.36;-6.78;0.18;154.01;11;med
0.75;240160;0.75;0.77;0.07;-9.02;0.04;112.94;9;med
0.57;166175;0.04;0.83;0.1;-27.91;0.04;119.05;7;med
0.56;150261;0.91;0;0.32;-5.36;0.15;114.83;6;med
0.67;241240;0.72;0;0.12;-6.35;0.03;115.04;10;med
0.35;206093;0.89;0;0.36;-10.15;0.09;99.82;8;med
0.68;160000;0.48;0.74;0.09;-9.17;0.08;120;8;med
0.28;218965;0.8;0;0.18;-4.5;0.06;199.53;0;high
0.5;210008;0.22;0;0.13;-8.23;0.04;120.93;3;med
0.6;206567;0.82;0;0.17;-5.67;0.08;165.02;6;high
0.55;258107;0.82;0;0.2;-6.16;0.05;120.89;7;med
0.69;205813.5;0.87;0;0.43;-3.22;0.17;153.8;7;med
0.59;264000;0.62;0.02;0.14;-9.08;0.05;80.02;6;med
0.54;277773;0.47;0.01;0.42;-8.94;0.03;132.05;2;med
0.86;297600;0.71;0;0.11;-8.22;0.1;123.02;1;med
0.36;377067;0.79;0;0.13;-6.25;0.04;159.94;6;med
0.51;145920;0.69;0;0.1;-4.99;0.03;96.88;0;med
0.69;214634;0.83;0;0.18;-4.44;0.04;123.03;8;high
0.64;227067;0.69;0;0.35;-7.5;0.06;91.94;1;med
0.76;174667;0.78;0;0.06;-6.58;0.06;101.89;10;med
0.89;245467;0.82;0;0.05;-3.71;0.12;128.01;5;high
0.68;214920;0.1;0;0.11;-13.76;0.07;108.06;0;med
0.74;255533;0.93;0.01;0.68;-5.44;0.1;170.01;9;med
0.87;206316;0.52;0;0.1;-6.9;0.05;113.99;1;high
0.22;271333;0.74;0;0.08;-7.31;0.04;131.01;9;med
0.83;218440;0.78;0;0.35;-6.72;0.05;140.05;5;med
0.45;238387;0.9;0;0.14;-3.13;0.11;160.1;1;med
0.76;209013;0.59;0;0.28;-8.16;0.03;77.05;5;med
0.65;329893;0.35;0.27;0.11;-10.11;0.03;121.46;4;med
0.4;244067;0.24;0;0.11;-10.75;0.07;171.75;10;med
0.72;196147;0.95;0;0.31;-4.29;0.23;103.99;7;med
0.35;215227;0.44;0.51;0.13;-11.2;0.04;129.27;5;med
0.59;205773;0.88;0.89;0.05;-6.81;0.03;106.47;2;med
0.56;237140;0.73;0;0.19;-6.65;0.07;89.99;8;med
0.54;188035;0.76;0;0.16;-6.91;0.04;88.23;2;med
0.72;246760;0.59;0.93;0.11;-11.98;0.03;130.55;0;med
0.64;270613;0.5;0;0.19;-8.82;0.04;79.92;11;med
0.72;233023;0.27;0;0.08;-15.47;0.05;86.04;5;high
0.48;198800;0.57;0;0.04;-9.31;0.39;177.16;1;med
